Feature,Instance,X,Y,Checkin
A,1,3341.26,2609.05,1115
A,2,3490.51,450.69,2783
A,3,4991.71,1648.98,41
A,4,369.62,4283.74,4632
A,5,3708.62,1815.43,3767
A,6,1236.59,2930.22,1329
A,7,626.06,3589.4,15262
A,8,1811.23,669.76,12583
A,9,309.23,3905.17,13267
A,10,556.59,833.54,383
A,11,3601.05,693.85,640
A,12,2208.6,4122.93,612
A,13,8.46,339.77,728
A,14,3733.72,2314.95,16481
A,15,2176.21,3466.91,1163
A,16,1909.77,2658.82,2923
A,17,3674.0,4963.82,1754
A,18,2874.1,3010.59,1673
A,19,3148.48,3835.99,6851
A,20,128.59,3421.84,13548
A,21,514.29,1305.89,3817
A,22,245.9,3498.74,10099
A,23,1823.36,961.96,21769
A,24,1390.16,2979.93,922
A,25,1977.61,3685.67,3642
A,26,156.23,2559.17,1655
A,27,4082.35,4644.37,15501
A,28,2606.19,4089.57,13738
A,29,842.95,2462.75,3519
A,30,3147.89,678.62,16794
A,31,346.64,4895.58,193
A,32,2539.44,3026.83,2038
A,33,3934.82,688.08,5412
A,34,806.97,1620.88,370
A,35,1491.99,446.09,12705
A,36,580.2,1386.9,838
A,37,4679.05,3472.13,17312
A,38,3733.96,4907.72,33807
A,39,1916.03,1155.33,10736
A,40,3744.14,3348.45,7474
A,41,3820.07,1628.34,14817
A,42,3307.19,809.39,979
A,43,1599.66,1802.19,2036
A,44,4219.39,2234.71,4354
A,45,2993.98,972.52,3451
A,46,3972.53,4142.98,3831
A,47,1235.45,3079.84,12645
A,48,4429.96,5007.34,491
A,49,1640.96,3819.38,9753
A,50,2894.94,4830.34,11591
A,51,3005.08,3266.68,201
A,52,2480.02,1038.54,10309
A,53,3970.21,4434.7,2068
A,54,556.59,1492.03,16016
A,55,3450.64,1287.92,3803
A,56,3406.77,4724.37,4433
A,57,1165.25,1896.84,2875
A,58,3680.39,3847.45,1162
A,59,2212.97,1296.84,2546
A,60,536.71,155.49,15819
A,61,4717.09,2958.16,1176
A,62,1635.52,1529.31,9949
A,63,714.61,1035.21,16824
A,64,2542.56,4332.45,1753
A,65,3306.44,1371.14,2993
A,66,3630.53,2654.87,13519
A,67,3873.55,535.23,23
A,68,3438.57,678.05,13199
A,69,2106.0,2356.21,4532
A,70,3620.45,2962.97,20088
A,71,2991.89,840.38,8874
A,72,3135.12,1273.05,6213
A,73,2519.28,2050.58,13783
A,74,3784.75,1159.54,10050
A,75,583.38,3503.33,5047
A,76,1380.22,1587.29,15182
A,77,2593.17,3075.18,12929
A,78,4502.6,1723.57,9322
A,79,618.4,36.52,5269
A,80,914.99,2341.71,6210
A,81,3523.71,173.03,5161
A,82,2236.33,4848.28,4949
A,83,4250.29,3290.05,1583
A,84,2517.77,2700.02,3112
A,85,1812.76,1717.53,16134
A,86,4070.9,2015.76,7024
A,87,4696.42,1022.78,1832
A,88,4755.22,1153.63,5288
A,89,4623.3,3603.76,1332
A,90,4540.63,2664.42,4786
A,91,1023.21,3476.16,11310
A,92,2715.28,4619.43,11106
A,93,4321.85,1707.3,7657
A,94,2518.6,4823.21,15922
