Feature,Instance,LocX,LocY,Checkin
A,1,38297.62,80720.28,41
A,2,14131.72,145594.1,847
A,3,4433.1,131527.76,860
A,4,31558.77,185936.58,1999
A,5,31573.64,185843.03,1816
A,6,19403.62,133783.12,604
A,7,27070.2,221444.91,544
A,8,37233.82,188203.42,351
A,9,44085.45,62287.34,228
A,10,38798.71,57599.41,2046
A,11,34568.01,171693.05,1484
A,12,44789.6,62851.79,666
A,13,23435.54,191800.86,2688
A,14,19333.84,133877.46,803
A,15,21265.62,133860.64,849
A,16,38192.47,80620.6,2764
A,17,43648.48,60149.14,1855
A,18,45002.93,60103.36,533
A,19,38752.22,183561.27,1663
A,20,43782.22,59501.49,495
A,21,47319.04,153514.04,761
A,22,43498.34,60532.72,517
A,23,50176.01,157817.61,192
A,24,43672.89,60935.01,190
A,25,43874.08,59754.54,285
A,26,37345.21,188160.32,1105
A,27,50684.8,155161.07,1655
A,28,43021.26,155725.08,1950
A,29,37350.7,188153.86,389
A,30,39823.52,193285.17,871
A,31,43578.14,61898.08,1197
A,32,45069.3,62800.33,6413
A,33,43736.92,60070.4,325
A,34,45314.95,59772.47,396
A,35,44557.17,59917.48,119
A,36,45298.29,59707.42,1298
A,37,44029.89,60504.54,339
A,38,45388.43,60184.45,814
A,39,45370.33,59791.07,2746
A,40,43893.18,60662.69,370
A,41,38360.88,70596.76,351
A,42,38344.84,70555.22,410
A,43,49527.69,102120.61,124
A,44,45180.69,58552.01,1244
A,45,43786.54,58957.08,158
A,46,51486.04,158260.77,1933
A,47,51992.6,157232.1,488
A,48,51962.72,157233.78,936
A,49,52415.54,157089.43,983
A,50,37260.77,187730.85,2015
A,51,44199.56,60001.34,602
A,52,65804.09,108447.43,1026
A,53,56403.17,132848.57,447
A,54,63728.4,77638.95,283
A,55,59411.37,126653.73,629
A,56,51841.24,156605.06,1639
A,57,57455.62,132727.28,153
A,58,52429.94,156205.11,1025
A,59,57293.54,133099.94,96
A,60,57301.64,132836.87,1880
A,61,67480.88,101435.87,120
A,62,45680,39626,1494
A,63,66601.36,146051.3,1192
A,64,52433.45,156164.01,30
A,65,66939.95,95267.43,846
A,66,65489.1,108414.47,92
A,67,57651.24,133311,2684
A,68,58040.39,132730.4,129
A,69,57570.56,132848.12,839
A,70,58007.3,134676.8,756
A,71,52612.06,156474.97,499
A,72,64581.02,76293.31,1613
A,73,64580.66,76339.08,75
A,74,71043.09,96291.75,400
A,75,70815.57,105440.84,490
A,76,56804.79,132422.89,1640
A,77,51401.63,157055.57,20
A,78,51494.41,157052.57,734
A,79,52980.27,156793.73,2266
A,80,57833.99,134303.92,78
A,81,57865.83,134348.8,1463
A,82,57862.23,134205.8,1815
A,83,44106.26,59336.43,283
A,84,57222.76,132415.2,181
A,85,51975.86,154703.98,536
A,86,52087.36,154687.94,2696
A,87,51942.3,155071.86,1026
A,88,52357.05,156632.01,174
A,89,52883,156828.48,302
A,90,43503.21,60534.84,822
A,91,53640.16,195032.43,1020
A,92,52087.36,155700.46,179
A,93,57333.75,132956.94,869
A,94,43913.71,59758.21,181
A,95,57837.86,134466.08,645
A,96,57840.2,134526.67,1942
A,97,57900.18,134840.86,438
A,98,57876.71,134829.95,145
A,99,58051.1,134862.8,1701
A,100,52956.15,156152.98,366
A,101,55283.68,132783.75,216
A,102,51999.8,156818.9,1044
A,103,57342.02,132824.73,45
A,104,57340.94,132846.9,232
A,105,67146.08,186711.54,758
A,106,52998.53,155418.68,703
A,107,53055.04,155557.9,588
A,108,52000.16,156702.96,883
A,109,52043.35,156677.45,269
A,110,51924.03,156654.06,350
A,111,57829.67,134200.67,527
A,112,57838.04,134382.77,1195
A,113,52931.05,156273.71,607
A,114,57449.23,132518.45,950
A,115,45530.34,59297.23,1103
A,116,44162.45,59784.38,16
A,117,44009.08,59703.75,2250
A,118,67439.55,133755.39,410
A,119,56252.95,134449.15,838
A,120,55947.29,133373.82,243
A,121,50939.41,157550.75,1896
A,122,50986.92,157185.77,145
A,123,65368.95,149202.9,350
A,124,56044.35,132605.21,1013
A,125,56000,132686.63,1051
A,126,57284.28,132779.07,3136
A,127,44212.17,59720.79,1472
A,128,57333.66,134148.21,348
A,129,56252.32,134243.66,1156
A,130,56253.58,134328.64,1916
A,131,52261.12,158632.21,376
A,132,54799.14,150046.91,167
A,133,54194.57,150298.62,115
A,134,54637.21,150127.21,623
A,135,51820.72,158279.82,1280
A,136,51828.73,155152.83,2136
A,137,51603.66,156436.1,3015
A,138,52609.81,157932.21,231
A,139,51875.88,154172.05,190
A,140,57086.13,134099.65,97
A,141,52632.31,153564.94,2164
A,142,57957.92,134850.66,22
A,143,52989.36,155981.35,803
A,144,52661.55,158036.02,3445
A,145,58235.55,132764.37,952
A,146,52172.58,154883.74,593
A,147,51660.72,157001.22,1262
A,148,52788.34,157024.17,89
A,149,52930.51,156816.67,143
A,150,45442.28,60070.06,92
A,151,51393.8,157055.8,1166
A,152,51166.02,157070.5,107
A,153,61887.74,146389.99,4338
A,154,52607.11,157704.9,492
A,155,69075.19,81055.63,286
A,156,51246.2,157036.64,4585
A,157,47825.08,167119.73,236
A,158,57346.07,153016.97,325
A,159,51409.1,158354.33,2073
A,160,51226.95,158931.48,660
A,161,54579,140538.52,1043
A,162,65818.38,95581.51,134
A,163,56441.4,139569.22,377
A,164,64919.4,113289.95,689
A,165,67616.38,86162.33,1229
A,166,57422.52,133224.57,617
A,167,57417.12,133282.6,457
A,168,66478.26,139996.01,882
A,169,37321.15,188017.64,1858
A,170,68620.68,141563.29,2132
A,171,51143.61,158189.27,263
A,172,74925.86,110834.11,114
A,173,73859.32,109197.22,1930
A,174,59707.21,132251.82,407
A,175,74903.69,111578.43,347
A,176,71062.67,153656.05,241
A,177,56876.02,132424.23,639
A,178,56909.21,132478.8,18
A,179,71971.44,160561.58,1923
A,180,70397.79,197282.34,910
A,181,66322.97,85604.45,2139
A,182,65455.94,87017.47,403
A,183,73040.43,131973.6,1927
A,184,65477.69,86851.75,2150
A,185,51772.93,51251.98,409
A,186,56398.22,133232.7,323
A,187,66339.69,88565.27,1526
A,188,65519.75,88885.03,4051
A,189,65557.41,89271.39,210
