Feature,Instance,LocX,LocY,Checkin
A,1,693670.6337,1149802.132,12403
A,2,695932.5033,1148223.935,2503
A,3,701358.7123,1132446.418,25887
A,4,679375.4344,1122483.839,444
A,5,817980.4002,1115244.402,7686
A,6,719714.6956,1114532.71,5004
A,7,820501.5285,1111222.616,13996
A,8,740579.3629,1110820.549,14355
A,9,738635.0926,1109273.537,314
A,10,734008.3906,1108469.403,17145
A,11,754351.0147,1108222.148,10656
A,12,733272.8391,1108159.778,32246
A,13,727267.1328,1108128.592,4260
A,14,754445.6781,1108067.336,5114
A,15,754801.2988,1107850.152,27732
A,16,738255.082,1107665.268,2298
A,17,754067.02,1101818.031,2104
A,18,753948.4737,1101786.846,22553
A,19,754019.2605,1101539.591,87
A,20,649921.4321,1101106.339,2748
A,21,749067.4464,1100982.711,4640
A,22,648535.2829,1100518.274,40918
A,23,804044.6355,1100487.088,10743
A,24,753948.4737,1100116.206,24191
A,25,661243.6576,1099342.143,11228
A,26,803525.6751,1096465.303,7798
A,27,748759.4368,1096279.305,4318
A,28,803266.6114,1096094.421,1228
A,29,640620.4888,1095135.474,16317
A,30,636434.1008,1094980.661,9527
A,31,802770.5527,1094702.221,5220
A,32,757240.8981,1094485.038,2742
A,33,757170.1302,1094300.154,13821
A,34,802864.8394,1092753.142,6676
A,35,801567.6969,1091824.267,17159
A,36,792857.0523,1091206.13,3621
A,37,788723.0576,1091082.503,14420
A,38,785628.8712,1090927.69,7524
A,39,826885.1741,1090215.998,26160
A,40,827214.9512,1089906.373,6715
A,41,828368.6779,1088080.921,18133
A,42,828274.5867,1087586.412,26004
A,43,829240.0473,1086596.28,28959
A,44,826319.7003,1084059.135,44332
A,45,651092.346,1075923.122,2069
A,46,683332.8582,1075799.495,9378
A,47,816189.3387,1074778.177,18182
A,48,816071.3961,1071313.271,8580
A,49,764013.0818,1068405.245,301
A,50,767893.9754,1067167.858,8158
A,51,830558.0038,1064444.716,15458
A,52,830652.0777,1060020.864,23180
A,53,802581.9772,1058473.852,9610
A,54,830981.7542,1052657.799,3618
A,55,829993.5458,1052100.92,12991
A,56,701858.967,1050461.466,7279
A,57,649562.6495,1050151.84,32700
A,58,830652.0777,1046841.747,2550
A,59,831287.6929,1043036.031,7848
A,60,708304.7103,1042416.781,7979
A,61,830981.7542,1042014.713,4286
A,62,659692.0798,1041953.457,11557
A,63,676228.7959,1037869.3,2268
A,64,617468.343,1033630.332,8979
A,65,831005.4838,1031743.623,9344
A,66,732964.4237,1029237.664,2416
A,67,621948.7903,1026886.518,8106
A,68,747171.4838,1025680.316,39065
A,69,617923.8856,1024535.371,2012
A,70,825872.0504,1024380.559,6276
A,71,589897.7725,1020853.282,2151
A,72,826673.2304,1018470.951,7561
A,73,622045.3846,1016274.617,15370
A,74,631193.1747,1011974.392,16189
A,75,822787.2333,1009468.433,6208
A,76,623577.8484,1007550.539,112927
A,77,822645.6083,1006684.034,10975
A,78,737187.5719,1005756.272,1874
A,79,787613.2214,1005632.645,3666
A,80,783879.8572,1004146.89,6171
A,81,636170.5171,1003497.568,118
A,82,834300.9118,1000187.475,17555
A,83,834418.6802,999073.715,261
A,84,805625.1633,998021.2122,1934
A,85,805177.6085,997959.9555,8759
A,86,747668.9683,997309.5199,418
A,87,599671.6995,996629.0128,11730
A,88,754990.6178,996505.3855,19970
A,89,609220.6003,996505.3855,3172
A,90,826061.1166,996040.9478,9068
A,91,807984.1104,995638.8806,15436
A,92,825565.9774,995082.0009,32226
A,93,807489.0918,994989.5588,9068
A,94,812676.8787,994958.3736,11671
A,95,807748.0663,994865.9315,9823
A,96,825448.1246,994803.561,56593
A,97,825895.7898,993287.7343,19817
A,98,823681.8928,992483.5999,806
A,99,822763.4879,992328.7873,10296
A,100,789077.6736,991401.0256,46226
A,101,821609.2366,991060.2152,13117
A,102,607397.8088,990936.5879,4384
A,103,790353.1855,990534.5207,1716
A,104,594149.4952,989761.5716,6829
A,105,822951.7538,989389.5759,4191
A,106,574921.5797,989173.5066,629
A,107,647913.1399,989079.9508,12974
A,108,829969.8142,988771.4394,4544
A,109,783667.1681,988585.4416,64071
A,110,788818.3032,987657.6799,17641
A,111,813902.4076,986481.5498,21660
A,112,651402.9066,986110.6679,11539
A,113,745938.3504,986079.4826,1107
A,114,828298.3215,985058.1652,1245
A,115,795949.4049,983697.151,8034
A,116,777237.0962,981748.0719,3164
A,117,596718.6146,981346.0047,1503
A,118,657064.6729,980634.3123,10762
A,119,594653.5099,980108.6178,37254
A,120,594726.1276,979861.3632,28672
A,121,596934.6987,979737.7359,46328
A,122,769976.6201,979489.3676,27279
A,123,724037.4329,978932.4878,3373
A,124,716482.9489,975993.2764,460
A,125,797083.1279,975004.258,2495
A,126,776150.0471,973673.3153,12041
A,127,799254.2454,973116.4356,19202
A,128,745914.4545,972312.3012,33719
A,129,742524.1717,965537.302,18948
A,130,733011.4127,963804.2922,9195
A,131,768060.0891,961576.7732,9459
A,132,765645.6797,957059.3645,14990
A,133,764439.1464,955388.7253,4341
A,134,763302.3727,954492.1488,4471
A,135,762640.1996,953254.762,14731
A,136,727196.188,952574.2549,5768
A,137,668547.4932,950964.8724,3126
A,138,602527.2678,949387.789,31118
A,139,782533.047,946695.8322,11338
A,140,774044.6231,943972.6902,7376
A,141,777237.0962,943725.4355,13220
A,142,728976.5198,943292.1831,33232
A,143,722113.5594,942890.1159,2099
A,144,729214.1052,942858.9306,5803
A,145,720593.9074,942519.234,12216
A,146,728929.5149,941807.5416,279
A,147,714058.9907,940601.3401,1206
A,148,623841.7187,940507.7843,18321
A,149,719049.2567,940013.2751,4258
A,150,620536.0066,939950.9045,16918
