Feature,Instance,X,Y,Checkin
A,1,4803.3,2579.4,105
A,2,3369.52,157.38,2304
A,3,2941.33,2116.09,701
A,4,4788.57,4605.75,1545
A,5,816.15,436.31,8906
A,6,4606.97,2970.92,4272
A,7,1496.3,4916.43,10671
A,8,720.62,1477.67,7664
A,9,4127.14,886.56,1383
A,10,4735.65,1925.38,5462
A,11,3406.2,566.7,155
A,12,729.36,255.1,533
A,13,3239.07,241.29,176
A,14,2764.01,3393.53,2654
A,15,2424.36,525.71,1879
A,16,2472.92,4453.54,431
A,17,3981.88,3709.97,2620
A,18,1454.76,2081.54,15438
A,19,3005.19,3590.11,7656
A,20,3121.75,481.76,169
A,21,2418.21,4384.91,5993
A,22,2572.76,1923.95,6950
A,23,2158.24,1201.63,8161
A,24,1865.4,4883.26,1934
A,25,2813.72,3952.0,988
A,26,2044.28,991.15,1580
A,27,4468.18,4432.73,6208
A,28,772.64,2701.82,21422
A,29,2010.05,2324.5,959
A,30,2583.7,4200.55,985
A,31,105.8,1401.48,25234
A,32,1761.74,1971.17,1343
A,33,4519.14,3721.94,17222
A,34,1328.64,1880.51,2848
A,35,2374.66,1848.03,4257
A,36,4883.02,1496.05,4066
A,37,678.09,1662.89,2772
A,38,3783.99,369.48,3317
A,39,3839.57,2553.28,1871
A,40,2182.63,4956.08,8529
A,41,953.73,2319.72,17162
A,42,953.49,3105.53,130
A,43,3597.67,3895.45,19081
A,44,429.32,1486.1,2272
A,45,1457.55,4009.63,10189
A,46,4524.26,4001.14,1011
A,47,2557.39,2683.07,12364
A,48,1931.31,4801.98,87
A,49,2965.74,1216.26,3308
A,50,3261.78,4555.4,6179
A,51,4763.67,1813.12,1402
A,52,4852.01,4444.36,4752
A,53,1128.03,2599.94,7339
A,54,3614.92,4342.18,736
A,55,1954.52,4503.35,152
A,56,3112.13,4694.5,412
A,57,2445.7,1261.35,3598
A,58,3905.09,319.02,6792
A,59,2795.56,2077.84,2132
A,60,2738.09,3299.83,7911
A,61,3820.77,4733.62,17845
A,62,4882.72,3076.92,247
A,63,64.7,815.99,10596
A,64,4221.64,2523.14,1103
A,65,3632.98,3989.34,1283
A,66,1769.62,3256.72,2762
A,67,3352.19,1578.7,4399
A,68,569.04,2056.19,2879
A,69,157.4,4403.1,2299
A,70,1793.85,173.4,1112
A,71,648.17,2549.07,23153
A,72,4049.04,3171.13,4253
A,73,1885.72,445.76,10093
A,74,2118.7,4142.92,8755
A,75,1720.85,1688.83,14053
A,76,1759.83,2322.7,562
A,77,640.13,826.36,3363
A,78,3531.52,1174.04,5440
A,79,3327.59,4602.88,978
A,80,1591.54,1026.24,1315
A,81,3538.33,1530.79,13315
A,82,4258.75,3168.83,16911
A,83,2265.22,3869.02,2796
A,84,1446.0,4887.82,4038
A,85,887.75,1752.17,1480
A,86,3949.84,161.44,3651
A,87,1134.55,4151.89,8018
A,88,4974.28,4210.46,2513
A,89,3226.98,1594.29,6389
A,90,2725.18,6.41,17415
A,91,1435.76,4255.48,5737
A,92,972.77,1897.12,1730
A,93,510.1,548.0,1556
A,94,1605.09,4311.14,9713
A,95,4598.01,1686.56,5877
A,96,313.41,3067.1,10085
A,97,3314.52,3438.98,5700
A,98,165.53,4694.31,8524
A,99,1739.86,1050.15,5129
A,100,3459.62,3340.63,3093
A,101,1437.32,2863.02,9026
A,102,3559.45,2987.19,7280
A,103,1243.76,185.99,17867
A,104,1932.6,1732.82,3793
A,105,4022.29,491.35,5482
A,106,2197.39,845.14,8828
A,107,4361.56,4554.37,3226
A,108,4727.99,1636.11,9821
A,109,476.34,2471.62,5641
A,110,1151.5,2139.15,2315
A,111,131.75,1160.03,257
A,112,4979.69,4633.84,9352
A,113,4836.11,2914.05,71
A,114,1148.4,2313.92,2032
A,115,3062.79,958.15,2756
A,116,3757.94,510.02,1993
A,117,3390.7,1602.33,22803
A,118,4857.63,2559.75,4211
A,119,1182.48,2695.61,1251
A,120,4598.15,634.48,3307
A,121,2771.11,3248.89,20510
A,122,2884.23,464.9,10065
A,123,4804.69,660.96,5599
A,124,2799.42,3173.77,3330
A,125,4550.71,3585.19,9893
A,126,1621.64,45.46,8958
A,127,4660.55,3794.66,3918
A,128,2279.64,348.57,2416
A,129,2867.12,4131.6,7980
A,130,3434.22,1212.89,26593
A,131,4596.92,3887.6,6915
A,132,1580.2,4394.69,72
A,133,1528.42,3510.98,9992
A,134,920.57,4982.92,4798
A,135,3707.03,3273.91,7787
A,136,2113.5,273.04,7941
A,137,4885.52,3573.76,7347
A,138,3882.83,2905.41,1721
A,139,4113.82,1939.84,16019
A,140,2372.42,4185.23,900
A,141,4203.33,1170.67,9615
A,142,3651.69,1142.38,7417
A,143,4175.64,1648.8,3892
A,144,318.81,2370.61,5794
A,145,1704.74,2797.16,4405
A,146,1283.45,2407.17,10879
A,147,1349.18,3340.35,9419
A,148,3481.35,4637.27,3927
A,149,1202.42,4268.85,9022
A,150,3572.65,241.44,5319
A,151,4282.53,814.48,2938
A,152,3211.42,2417.69,13553
A,153,168.34,1749.88,8344
A,154,2740.76,2624.71,2897
A,155,544.36,4776.04,9202
A,156,3881.72,1710.86,1938
A,157,3164.66,3750.25,3440
A,158,2862.91,3448.68,5958
A,159,2789.09,819.48,515
A,160,2573.31,4493.36,790
A,161,4653.0,258.12,9166
A,162,2224.94,4909.66,261
A,163,875.61,59.67,1657
A,164,315.4,1063.74,7048
A,165,765.42,3880.17,2697
A,166,3835.72,3693.7,1397
A,167,1638.19,4756.76,5473
A,168,1342.06,4908.66,6662
A,169,2957.13,1095.79,2301
A,170,1197.26,2650.39,1440
A,171,2731.6,2755.34,2040
A,172,387.45,4759.54,1042
A,173,4849.05,2504.25,2330
A,174,4805.5,4166.02,937
A,175,4523.69,1658.6,7007
A,176,1739.62,1464.19,131
A,177,1301.18,3412.36,265
A,178,249.79,4400.69,16338
A,179,1362.04,4486.05,1827
A,180,2343.93,352.99,620
A,181,385.07,162.47,2076
A,182,2742.29,4551.57,777
A,183,4996.79,4256.97,16602
A,184,4802.05,4047.39,9782
A,185,927.87,2292.75,688
A,186,2017.25,2288.18,4726
A,187,4893.78,3691.11,3924
A,188,709.9,2550.86,1484
A,189,1911.08,3121.87,1145
A,190,1619.56,4345.2,4605
A,191,1954.84,1345.71,3740
A,192,2694.25,1129.02,1938
A,193,3158.38,2276.03,2287
A,194,1724.29,4072.18,3225
A,195,4028.33,613.18,2822
A,196,2080.94,3663.23,2293
A,197,3463.9,1704.78,1030
A,198,3435.16,3891.61,3129
A,199,3202.06,3008.73,9067
A,200,3430.71,1004.89,970
A,201,1553.24,2936.05,371
A,202,3482.3,1524.54,4697
A,203,238.15,4578.4,7424
A,204,643.7,2988.03,4853
A,205,1372.83,1825.33,6545
A,206,2771.09,1195.58,366
A,207,765.25,4382.03,9530
A,208,4383.48,2009.22,3640
A,209,412.85,483.68,46
A,210,898.39,1802.83,2660
A,211,13.85,1663.37,3658
A,212,4918.2,3847.73,12167
A,213,2393.17,3378.76,35967
A,214,3638.55,3370.32,5368
A,215,2424.33,921.6,973
A,216,252.81,2872.51,380
A,217,2844.8,4659.93,3055
A,218,135.36,2379.11,3470
A,219,1752.36,3211.61,47
A,220,2566.52,3627.86,13912
A,221,2969.77,563.38,1045
A,222,4848.08,400.78,3849
A,223,452.86,3412.56,43
A,224,1392.41,1918.32,12954
A,225,2087.25,3694.69,22880
A,226,3642.59,942.4,7406
A,227,858.87,4739.17,502
A,228,525.53,4014.94,1655
A,229,4588.28,4896.88,1803
A,230,3449.56,935.29,21772
A,231,1545.07,3498.55,6940
A,232,1284.02,1001.12,1717
A,233,2541.02,3036.1,7984
A,234,1214.24,4133.04,14896
A,235,4102.93,3294.73,9721
A,236,4824.29,3061.36,3480
A,237,4012.51,2591.04,10018
A,238,3260.39,3803.59,19065
A,239,644.17,3250.9,719
A,240,4661.11,3512.28,1753
A,241,2581.42,2002.98,7568
A,242,4545.4,118.12,1672
A,243,2998.65,3581.11,12091
A,244,3865.35,3309.75,183
A,245,385.3,762.44,11998
A,246,4062.84,4060.19,3635
A,247,3209.67,3920.52,181
A,248,795.96,2580.76,4126
A,249,2270.79,1754.22,2510
A,250,3652.06,999.04,10899
A,251,3755.99,3262.6,2595
A,252,2646.46,1946.87,2924
A,253,2711.67,2061.64,5766
A,254,1283.43,2116.86,5949
A,255,4577.44,3858.92,6886
A,256,1890.78,2848.37,5061
A,257,2037.87,1718.2,586
A,258,4370.0,36.34,1523
A,259,298.35,3448.79,2550
A,260,1844.05,2629.68,28031
A,261,3802.94,3326.57,4641
A,262,154.39,2086.92,9522
A,263,2549.3,1206.03,1379
A,264,557.61,4100.72,10485
A,265,4259.23,3461.37,2513
A,266,1804.21,2151.45,1597
A,267,807.8,601.39,2009
A,268,276.09,3513.72,327
A,269,2517.05,1453.47,5739
A,270,4903.2,3686.12,4598
A,271,1458.24,4975.8,5771
A,272,3237.68,4362.27,33490
A,273,992.81,1892.03,14826
A,274,1501.95,3413.66,3468
A,275,2964.85,889.2,7201
A,276,4497.48,1786.7,11908
A,277,579.3,1284.55,1329
A,278,87.59,2000.37,7960
A,279,131.17,3777.04,12670
A,280,784.55,2737.58,1154
A,281,243.8,2527.22,7442
A,282,2810.9,1824.34,6387
A,283,1045.75,608.91,2267
A,284,2507.96,4965.06,8995
A,285,1739.04,2341.17,12911
A,286,697.55,26.26,1071
A,287,56.71,3372.45,433
A,288,3402.24,4833.72,7322
A,289,1642.31,4042.03,3826
A,290,4642.36,620.98,1154
A,291,4339.51,1592.53,13141
A,292,1390.65,2088.49,2807
A,293,3987.34,2506.7,3593
A,294,213.65,2532.9,2573
A,295,3036.24,1791.84,7191
A,296,2227.28,2019.99,2042
A,297,2591.59,4698.24,9793
A,298,1606.45,3933.3,2151
A,299,1873.64,2332.03,3552
A,300,2859.21,1107.6,533
A,301,1166.58,2506.15,2314
A,302,2019.75,425.63,1914
A,303,2480.46,3457.76,1650
A,304,3888.02,668.14,2815
A,305,3530.15,2086.19,4235
A,306,1861.82,2855.35,9987
A,307,4814.91,1056.92,5857
A,308,3523.07,625.35,10627
A,309,3570.73,1475.61,1173
A,310,3524.3,3284.11,46
A,311,3746.82,4433.56,1718
A,312,711.68,3892.34,15170
A,313,3493.21,705.03,814
A,314,4584.28,3170.3,10438
A,315,4075.0,691.89,2855
A,316,3524.79,2428.52,21268
A,317,3373.87,779.2,8595
A,318,90.75,1452.89,1725
A,319,4120.23,653.36,969
A,320,1570.46,1328.34,10955
A,321,4713.48,4633.46,23351
A,322,83.64,1219.75,933
A,323,1310.59,2884.31,6371
A,324,968.85,1688.14,4282
A,325,1246.13,2006.27,6306
A,326,3785.61,2217.77,4519
A,327,2904.19,2816.16,32071
A,328,3235.0,3146.8,4075
A,329,1139.03,4018.62,263
A,330,802.41,4860.99,5697
A,331,3773.26,208.89,1398
A,332,3348.36,1396.63,6447
A,333,3011.39,3119.24,18472
A,334,4449.63,1058.55,1137
A,335,3951.41,149.7,298
A,336,2431.24,3308.32,2088
A,337,820.69,1496.91,7251
A,338,1666.26,2184.75,2740
A,339,1286.78,2315.24,25054
A,340,2831.96,703.98,9441
A,341,1243.54,2639.56,1131
A,342,3236.73,4149.88,11491
A,343,4090.27,3130.49,1158
A,344,3037.75,4213.02,4164
A,345,1744.42,2548.14,2109
A,346,1459.08,1897.19,2759
A,347,3649.16,2089.23,4218
A,348,4942.19,2720.53,13588
A,349,3932.46,3938.02,2298
A,350,1356.21,4206.63,842
A,351,3577.15,937.91,1428
A,352,2705.9,1047.88,3612
A,353,2642.33,2493.18,4944
A,354,427.5,3905.77,1773
A,355,2761.61,3874.67,1834
A,356,3679.54,4962.94,12781
A,357,1928.36,3525.34,6276
A,358,4246.27,2607.5,6240
A,359,1989.46,1829.93,10530
A,360,4116.05,3029.65,233
A,361,2747.89,1415.01,2295
A,362,2220.54,2114.27,969
A,363,2268.48,3856.6,4835
A,364,282.31,3435.46,3577
A,365,4263.76,788.51,5125
A,366,948.59,2819.47,555
A,367,433.5,4327.51,1929
A,368,796.85,2596.99,2462
A,369,302.78,4468.49,4415
A,370,2244.35,602.93,2758
A,371,1148.31,2714.53,3244
A,372,1227.87,1595.57,10288
A,373,2470.95,585.42,4223
A,374,2767.01,4288.82,9832
A,375,914.42,2404.26,361
A,376,1167.62,729.45,2221
A,377,4543.29,2135.84,2588
A,378,4117.02,4221.71,7349
A,379,4805.53,3314.94,6673
A,380,1844.69,4333.84,17734
A,381,3371.81,4027.46,7666
A,382,4197.53,1805.88,4655
A,383,948.94,3104.49,16220
A,384,2001.28,4411.88,1274
A,385,3158.7,3808.6,3209
A,386,1306.61,4371.01,10901
A,387,3124.55,715.31,424
A,388,4772.32,519.71,5292
A,389,4811.59,3529.54,7485
A,390,3856.49,3856.99,32
A,391,509.5,852.52,1425
A,392,2432.29,39.89,6827
A,393,151.46,3723.17,859
A,394,1157.94,2125.95,1698
A,395,282.39,2424.07,958
A,396,4989.61,2330.44,5882
A,397,1388.58,1159.3,15568
A,398,3052.53,2881.57,7448
A,399,4793.48,269.93,7613
A,400,190.65,2808.19,10888
A,401,3537.58,4366.71,1104
A,402,4577.62,15.45,8903
A,403,4457.95,501.51,239
A,404,1879.57,2056.21,1117
A,405,3691.67,1889.49,12545
A,406,4729.14,2224.56,9858
A,407,2524.8,1559.91,4802
A,408,4116.28,2481.28,19713
A,409,2951.91,561.42,2238
A,410,1040.94,2947.96,5578
A,411,2936.68,2654.17,2161
A,412,1448.91,4831.47,18418
A,413,4963.76,3930.39,670
A,414,2692.43,944.08,8029
A,415,2666.15,876.34,12283
