Feature,Instance,LocX,LocY,Checkin
A,1,43146.62,80720.28,546
A,2,42949.64,80086.77,1101
A,3,32008.15,186744.39,2565
A,4,31417.26,193779.46,78
A,5,38250.31,195796.59,3416
A,6,38843.23,113475.72,399
A,7,42904.95,80471.02,1619
A,8,9282.1,131527.76,2062
A,9,33825.61,160225.78,1173
A,10,36418.5,185893.59,1314
A,11,36407.77,185936.58,825
A,12,36422.64,185843.03,280
A,13,24252.62,133783.12,559
A,14,31919.2,221444.91,35
A,15,42938.56,80578.16,74
A,16,43084.9,80643.43,758
A,17,42082.82,188203.42,241
A,18,32899.1,210530.84,1449
A,19,32907.58,210523.6,53
A,20,40528.86,72898.35,210
A,21,53232.5,119256.91,139
A,22,47337.14,65316.09,501
A,23,48852.32,62693.97,176
A,24,42137.7,188150.51,120
A,25,48597.99,59908.23,944
A,26,48628.61,59987.09,785
A,27,33812.98,135019.95,2101
A,28,52648.88,197903.82,1858
A,29,53185.96,119461.85,1536
A,30,33829.21,134992.33,2312
A,31,39429.09,171202.44,403
A,32,28284.54,191800.86,3514
A,33,34421.04,178340.52,4739
A,34,47800.55,61538.44,599
A,35,24182.84,133877.46,1164
A,36,9157.06,131287.19,998
A,37,9279.84,131518.52,1654
A,38,26114.62,133860.64,515
A,39,4422.63,118441.2,6307
A,40,42937.39,80196.25,802
A,41,48593.22,62057.79,2494
A,42,44672.88,193348.1,878
A,43,48497.48,60149.14,2099
A,44,48880.87,60496.86,373
A,45,50221.58,59731.03,2901
A,46,48245.39,62128.51,1650
A,47,56399.65,57186.99,192
A,48,43601.22,183561.27,366
A,49,48632.75,60705.8,955
A,50,48520.45,61107.42,2400
A,51,61467.15,125018.84,491
A,52,48465.24,61198.97,496
A,53,49753.95,139744.19,1059
A,54,55195.84,140278.57,125
A,55,52322.8,51120.11,403
A,56,48285.65,60662.25,570
A,57,52125.81,153484.86,446
A,58,47330.2,46912,2042
A,59,47355.06,46691.7,2384
A,60,48553.41,61053.51,689
A,61,48510.27,60998.05,595
A,62,48521.89,60935.01,1392
A,63,53624.98,138991.29,2241
A,64,49973.5,58498.77,1008
A,65,53134.83,64298.67,1470
A,66,56267.09,155461.23,633
A,67,55987.48,155743.9,2769
A,68,55720.19,155240.26,182
A,69,56159.19,154307.15,197
A,70,55382.42,151737.71,3266
A,71,44555.76,192981.56,2343
A,72,48723.08,59754.54,1597
A,73,49898.4,60207.17,996
A,74,42160.41,187974.65,1244
A,75,42145.54,188142.94,1618
A,76,48521.8,62185.98,607
A,77,48274.75,61842.61,1427
A,78,48277.9,61833.26,55
A,79,55533.8,155161.07,1268
A,80,50227.07,60262.19,665
A,81,47218.06,152715.81,218
A,82,47870.26,155725.08,1948
A,83,42930.72,80257.96,330
A,84,54869.84,186392.33,569
A,85,49036.85,59889.19,1423
A,86,49013.98,59968.04,733
A,87,49017.13,59952.67,693
A,88,44672.52,193285.17,303
A,89,48210.99,62125.28,647
A,90,48323.3,62199.79,585
A,91,48232.51,62011.9,1137
A,92,49005.87,59995.55,2245
A,93,49048.65,59802.43,1819
A,94,54107.73,148129.24,810
A,95,49918.3,62800.33,760
A,96,47897.1,155661.59,1292
A,97,48868.62,60372.34,228
A,98,48993.44,60997.05,1194
A,99,44554.14,192974.43,485
A,100,47945.83,60771.51,714
A,101,48576.82,60107.6,791
A,102,50163.95,59772.47,1876
A,103,49352.59,59957.35,1386
A,104,48878.89,60504.54,245
A,105,50237.43,60184.45,271
A,106,50219.33,59791.07,1831
A,107,49855.17,60105.81,881
A,108,48496.04,62239.89,529
A,109,48269.17,61992.75,985
A,110,48275.92,62155.36,14
A,111,48260.52,62042.64,52
A,112,49229.03,59843.64,710
A,113,49214.35,59839.51,22
A,114,49004.16,60160.5,1013
A,115,40534.27,73627.52,2972
A,116,54197.29,58655.59,246
A,117,48742.18,60662.69,2347
A,118,43209.88,70596.76,18
A,119,50001.23,60594.87,275
A,120,46715.98,58818.53,3433
A,121,52737.37,49729.7,693
A,122,48635.54,58957.08,1228
A,123,50019.24,62686.95,2901
A,124,48829.08,61902.2,376
A,125,50024.29,62688.85,23
A,126,55533.26,155178.22,628
A,127,55948.96,155785.33,1229
A,128,61580.84,133342.07,172
A,129,70287.6,94195.77,896
A,130,69546.5,94090.29,1997
A,131,71594.05,94182.85,346
A,132,69532.12,94007.21,683
A,133,56840.61,157279.22,2925
A,134,56809.83,157261.06,2030
A,135,56835.66,157345.71,117
A,136,56841.6,157232.1,782
A,137,56811.72,157233.78,610
A,138,61972.73,134251.13,36
A,139,63177.54,131722.45,1567
A,140,56429.98,158260.33,6755
A,141,57264.54,157089.43,1413
A,142,54702.7,186539.13,4210
A,143,49048.56,60001.34,51
A,144,72209.83,143410.79,70
A,145,61223.74,134183.19,333
A,146,56366.99,155237.14,248
A,147,60961.27,132476.02,2441
A,148,71396.72,135343.05,55
A,149,56813.61,154293.67,490
A,150,61252.17,132848.57,855
A,151,68580.46,77636.17,115
A,152,70025.17,103426.27,782
A,153,56464.81,158098.5,946
A,154,57278.94,156205.11,3711
A,155,57085.29,156340.99,506
