Feature,Instance,LocX,LocY,Checkin
A,1,667874.4344,1111098.839,2306
A,2,806479.4002,1103859.402,1753
A,3,792543.6355,1089102.088,2819
A,4,792024.6751,1085080.303,1955
A,5,781356.0523,1079821.13,1234
A,6,777222.0576,1079697.503,4301
A,7,774127.8712,1079542.69,1635
A,8,816867.6779,1076695.921,2071
A,9,818492.5458,1040715.92,3125
A,10,605967.343,1022245.332,5171
A,11,819504.4838,1020358.623,1378
A,12,735670.4838,1014295.316,3420
A,13,743489.6178,985120.3855,2246
A,14,796483.1104,984253.8806,488
A,15,777576.6736,980016.0256,4315
A,16,582648.4952,978376.5716,549
A,17,563420.5797,977788.5066,8413
A,18,636412.1399,977694.9508,539
A,19,639901.9066,974725.6679,852
A,20,816797.3215,973673.1652,2187
A,21,784448.4049,972312.151,493
A,22,645563.6729,969249.3123,6630
A,23,585433.6987,968352.7359,5195
A,24,785582.1279,963619.258,2014
A,25,721510.4127,952419.2922,118
A,26,756559.0891,950191.7732,1170
A,27,762543.6231,932587.6902,3279
A,28,717475.5198,931907.1831,4089
A,29,717428.5149,930422.5416,330
A,30,554275.4776,922006.9747,121
A,31,752630.5293,920739.5164,166
A,32,773607.2766,920057.8955,8841
A,33,709234.8753,919904.1967,1814
A,34,615621.3482,918914.0645,188
A,35,706146.2657,918418.4415,1719
A,36,701250.4055,915665.228,486
A,37,733536.955,912973.2712,691
A,38,817455.9438,912912.0144,287
A,39,554203.5421,911581.0718,215
A,40,732279.7023,911396.1877,5084
A,41,808718.0725,910096.4304,4856
A,42,744271.593,907498.0294,4172
A,43,733750.3249,907374.4021,9084
A,44,736310.4686,905517.765,2620
A,45,733821.1629,905053.3273,2986
A,46,539411.5497,904311.5634,666
A,47,739628.457,903908.3825,549
A,48,734485.142,903599.8711,5019
A,49,731284.3907,902268.9285,83
A,50,809684.1641,902237.7432,3542
A,51,728723.175,900815.4723,4535
A,52,731782.0568,897999.8882,2172
A,53,549893.5151,897752.6336,3266
A,54,729244.8536,895153.1189,9609
A,55,769117.4992,894534.9823,1745
A,56,726896.6941,894441.4265,5465
