Feature,Instance,LocX,LocY,Checkin
A,1,20893.178,37017.777,44
A,2,17014.003,21887.799,29
A,3,33154.49,29844.408,50
A,4,23909.167,26993.607,32
A,5,20128.769,22874.501,130
A,6,32543.329,21849.152,52
A,7,28880.21,25517.508,26
A,8,31370.605,37155.883,417
A,9,16348.588,28096.574,673
A,10,32671.96,31759.897,39
A,11,39978.481,16708.194,51
A,12,28785.543,23883.935,21
A,13,27699.187,29689.796,1834
A,14,35004.454,34974.485,405
A,15,35027.62,23905.074,49
A,16,27677.965,32586.362,341
A,17,41194.403,26985.143,21
A,18,32045.557,27965.83,1548
A,19,21487.96,37358.844,162
A,20,11640.39,22773.127,244
A,21,1313.649,42383.57,31
A,22,35644.642,24011.26,179
A,23,11554.76,23824.527,26
A,24,14038.311,24198.015,231
A,25,45200.062,34806.174,719
A,26,46184.463,36167.199,303
A,27,28749.51,31870.092,37
A,28,38843.536,20727.964,45
A,29,27746.841,24458.646,992
A,30,4043.609,20846.39,90
A,31,17694.689,32839.486,299
A,32,28722.31,20339.885,2288
A,33,26354.674,23993.05,21
A,34,30227.414,10567.893,27
A,35,22637.819,18490.22,39
A,36,28765.225,36724.524,2399
A,37,34047.663,35971.4,96
A,38,34130.184,26981.601,2356
A,39,33956.546,26794.467,42
A,40,31230.44,18240.46,28
A,41,33473.138,36407.236,1301
A,42,29756.007,25883.59,21
A,43,29982.113,32818.636,40
A,44,32548.014,32390.106,38
A,45,27636.569,22500.857,101
A,46,33805.523,22053.092,27
A,47,38791.498,24353.63,38
A,48,30686.089,26624.964,39
A,49,32587.538,16209.753,441
A,50,31901.335,29901.477,34
A,51,28754.75,27065.734,246
A,52,17655.671,22841.289,608
A,53,16367.369,20268.783,22
A,54,31360.167,32028.201,343
A,55,25016.23,22820.306,1556
A,56,32598.588,32593.635,28
A,57,33728.206,21574.388,68
A,58,17713.089,35724.357,95
A,59,30645.324,26009.69,141
A,60,17607.423,34427.495,181
A,61,39980.861,27200.187,151
A,62,26429.092,29046.879,32
A,63,28663.468,27906.177,1513
A,64,30118.424,31535.496,203
A,65,28952.889,29822.556,31
A,66,17598.177,21889.693,280
A,67,37255.927,26975.809,139
A,68,25101.208,20106.586,51
A,69,23141.973,22231.249,924
A,70,28774.51,30035.908,1200
A,71,32550.119,28692.748,287
A,72,28884.744,18214.576,75
A,73,26944.884,29839.753,291
A,74,15143.944,21607.745,182
A,75,26515.935,24148.754,76
A,76,33008.74,16295.334,86
A,77,35052.919,28873.188,226
A,78,46198.786,37424.143,85
A,79,32531.529,21126.01,48
A,80,30102.172,35004.879,2253
A,81,27538.183,29841.713,219
A,82,32553.05,29905.364,31
A,83,33766.387,20339.061,41
A,84,34098.517,26953.144,772
A,85,33952.985,26783.92,710
A,86,31294.763,35994.11,236
A,87,28636.868,35698.44,25
A,88,26338.881,19954.68,191
A,89,30057.606,32871.261,421
A,90,31381.03,35743.948,570
A,91,30042.591,35232.454,495
A,92,20210.575,37508.856,40
A,93,12685.387,23277.738,81
A,94,34199.117,24850.89,26
A,95,31650.275,33747.044,289
A,96,17562.989,35682.858,170
A,97,33887.986,26825.975,23
A,98,33977.698,27171.363,115
A,99,31395.63,10690.507,40
A,100,21354.314,33802.409,115
A,101,30362.248,26879.848,21
A,102,32522.881,16483.838,28
A,103,25075.505,23936.616,84
A,104,34169.012,27163.222,27
A,105,28943.659,23259.116,54
A,106,17687.873,23067.928,203
A,107,28093.661,27902.157,359
A,108,25152.392,20291.47,24
A,109,44949.626,37706.459,38
A,110,30140.879,25040.942,472
A,111,28892.925,35620.61,342
A,112,11404.74,22980.23,121
A,113,14492.721,37569.534,21
A,114,2397.163,19262.713,24
A,115,38802.321,27312.031,22
A,116,31453.306,29971.499,43
A,117,46310.737,35787.93,50
A,118,38278.74,28013.276,26
A,119,24973.681,20233.109,28
A,120,17554.544,24079.7,60
A,121,20157.169,23881.34,82
A,122,39335.382,27053.583,43
A,123,32565.02,34553.038,58
A,124,16370.781,24210.166,66
A,125,27586.133,22041.743,434
A,126,30094.334,29216.616,1384
A,127,31358.787,20181.208,23
A,128,30174.999,8789.731,142
A,129,16303.193,43421.181,411
A,130,35023.361,23379.235,46
A,131,30088.437,33554.43,113
A,132,32393.654,10528.689,448
A,133,11557.713,23822.422,33
A,134,37396.934,26990.934,74
A,135,29023.378,30714.132,168
A,136,33866.808,26919.876,21
A,137,30121.254,20676.23,23
A,138,44966.861,37091.252,134
A,139,25282.577,22153.364,29
A,140,28945.399,8814.234,68
A,141,22604.122,20297.908,21
A,142,18509.657,31704.175,58
A,143,30668.041,31788.565,104
A,144,34833.134,26988.773,74
A,145,11906.007,22644.131,372
A,146,31301.153,31761.155,190
A,147,31224.853,10801.805,93
A,148,27499.182,28001.37,2423
A,149,17867.946,37287.619,98
A,150,21525.089,21726.527,213
A,151,46208.921,35227.676,73
A,152,18884.146,24022.041,274
A,153,25133.032,20059.43,49
A,154,31531.993,6831.998,22
A,155,33670.08,27511.361,22
A,156,27614.296,24435.858,230
A,157,17637.271,24905.074,110
A,158,18856.707,35662.109,31
A,159,22718.135,21483.705,74
A,160,24466.398,27896.966,69
A,161,16359.665,20272.737,42
A,162,30011.394,22097.22,50
A,163,19208.807,31702.582,142
A,164,46418.687,35607.089,86
A,165,22501.791,37537.446,21
A,166,30085.029,30100.662,57
A,167,23322.315,21193.816,21
A,168,36911.541,35749.105,52
A,169,22735.57,34324.049,36
A,170,28931.496,31946.418,561
A,171,33204.788,26991.491,176
A,172,23927.267,18501.191,91
A,173,28821.22,26777.248,277
A,174,43971.177,37667.656,594
A,175,46310.737,35794.234,121
A,176,28860.114,32132.226,21
A,177,33681.113,36336.557,25
A,178,35120.323,35395.998,1655
A,179,30148.729,34761.167,783
A,180,28916.013,30074.656,1041
A,181,30111.616,10740.626,27
A,182,3952.65,20632.492,342
A,183,29949.586,20026.718,26
A,184,32548.773,10529.947,223
A,185,12718.413,23977.881,57
A,186,28665.597,27993.763,64
A,187,46328.174,29101.664,35
A,188,31758.859,20162.352,74
A,189,31383.693,35840.121,21
A,190,28916.328,31905.955,165
A,191,27570.495,20467.845,76
A,192,34139.947,31968.905,76
A,193,30114.189,16067.103,44
A,194,29045.986,31631.469,26
A,195,44884.865,37461.555,220
A,196,29492.803,26035.885,303
A,197,21300.379,33758.783,73
A,198,17624.194,28475.687,121
A,199,32596.236,26009.823,760
A,200,33756.599,16129.607,30
A,201,28863.489,23288.909,45
A,202,16372.215,28243.357,47
A,203,22821.912,21265.007,247
A,204,27190.758,28005.491,116
A,205,16338.081,33732.376,47
A,206,21552.343,33657.152,70
A,207,33419.389,27146.081,195
A,208,22421.024,33683.036,157
A,209,34057.11,26937.774,113
A,210,17930.566,31797.653,36
A,211,22727.18,24158.298,46
A,212,38818.995,37552.95,73
A,213,30432.702,26993.986,94
A,214,31569.646,10549.728,522
A,215,20617.48,27788.419,46
A,216,31887.396,33714.222,893
A,217,33786.79,24439.656,29
A,218,24439.117,26970.909,200
A,219,27537.688,27961.308,21
A,220,16503.765,24019.947,281
A,221,23254.76,21720.669,22
A,222,46392.085,35329.652,55
A,223,22813.513,21857.294,240
A,224,33786.799,24439.656,116
A,225,30077.223,36390.742,23
A,226,46335.765,29085.938,691
A,227,16384.21,42976.958,21
A,228,31297.992,35921.481,136
A,229,18502.14,31688.527,436
A,230,38948.785,26853.162,57
