Feature,Instance,LocX,LocY,Checkin
A,1,15854.791000000001,30745.28455,201
A,2,6673.960999999999,33253.99,14
A,3,14552.323,37260.02707,4
A,4,13649.313999999998,5921.1641119999995,97
A,5,17165.273999999998,25302.39634,32
A,6,16667.077,24941.23419,89
A,7,16098.865,23207.44475,9
A,8,18131.786,23785.34115,13
A,9,18121.035,24306.9927,114
A,10,9544.398000000001,24547.24176,2
A,11,14011.017,25756.89598,21
A,12,12702.351999999999,21739.29808,8
A,13,17451.506,22534.08801,29
A,14,17712.093,26148.6943,39
A,15,14471.675,21840.16014,7
A,16,16563.143,22495.79028,45
A,17,17910.755,19683.63213,34
A,18,17216.377,25263.95715,433
A,19,16357.252,31593.60065,7
A,20,4663.222,39065.19737,1
A,21,17964.288,26033.086069999998,12
A,22,17810.339,25886.61555,103
A,23,17091.807,2698.5432579999997,14
A,24,16603.694,20304.196659999998,74
A,25,5464.271,23373.473990000002,14
A,26,16188.907,24597.828719999998,13
A,27,16009.758,23498.83765,125
A,28,17583.642,24897.36321,135
A,29,16693.75,15308.706769999999,1
A,30,17403.129,21664.13045,17
A,31,17703.513,24244.432819999998,1
A,32,2729.2309999999998,37337.140439999996,3
A,33,9211.734,21177.70712,16
A,34,5841.774,13742.749740000001,1
A,35,12114.378,26216.3552,21
A,36,11454.457,7298.024818000001,3
A,37,13762.95,25642.613119999998,10
A,38,8021.3730000000005,8730.534518999999,22
A,39,16781.031000000003,27433.37136,153
A,40,15587.124,26506.31135,237
A,41,15008.38,18944.607030000003,6
A,42,15632.524,26127.50837,10
A,43,14460.771,21932.96973,20
A,44,17532.365,26082.596019999997,186
A,45,17491.396,25570.89814,124
A,46,12344.571000000002,26345.038969999998,17
A,47,16917.592,23222.81463,149
A,48,2990.86,37509.061480000004,157
A,49,16287.502,27144.31735,6
A,50,16832.761000000002,26361.78991,21
A,51,15527.964,21526.03541,17
A,52,17667.65,26982.72199,5
A,53,14781.282,30498.147989999998,17
A,54,17706.249,24249.36678,267
A,55,17799.588,26454.8668,152
A,56,16651.37,15260.91535,24
A,57,13859.575,30786.199610000003,4
A,58,16861.799,23462.840940000002,42
A,59,7511.1630000000005,11879.16276,6
A,60,6322.437,38213.21366,88
A,61,17214.466,25279.70571,1
A,62,17374.648999999998,29068.0028,54
A,63,15586.41,25592.70555,10
A,64,16623.863,28264.993319999998,2
