Feature,Instance,X,Y,Checkin
A,1,1597.06,769.98,1722
A,2,4267.43,3076.86,5530
A,3,3725.44,3145.15,2585
A,4,3268.07,408.14,4098
A,5,1672.87,859.16,10654
A,6,3305.56,2136.19,581
A,7,1603.17,3999.44,195
A,8,2981.18,747.05,3360
A,9,1440.37,1142.75,767
A,10,2023.03,2263.35,3787
A,11,3407.22,2291.23,625
A,12,155.1,324.82,151
A,13,2328.88,3845.33,3312
A,14,4861.23,4952.55,3942
A,15,1995.8,1177.42,6474
A,16,3040.55,4258.04,6206
A,17,3416.23,1656.99,2054
A,18,1491.35,4332.98,930
A,19,3312.33,1835.1,320
A,20,3885.25,3297.88,806
A,21,4885.79,1582.39,468
A,22,1656.93,1757.54,5067
A,23,606.34,3107.82,1021
A,24,80.31,479.86,1921
A,25,2945.43,362.69,2762
A,26,1120.66,4073.58,4037
A,27,4956.28,4777.95,1731
A,28,4420.84,1647.75,9442
A,29,3597.81,3860.55,4759
A,30,3628.82,548.77,2626
A,31,2423.68,2049.39,706
A,32,1503.1,1990.97,3820
A,33,2416.05,3857.36,3347
A,34,4595.35,630.32,9190
A,35,1188.05,3814.03,897
A,36,162.98,3185.88,3659
A,37,2761.58,42.48,6142
A,38,373.37,3139.46,396
A,39,2182.88,1873.99,4848
A,40,2769.19,3400.37,14616
A,41,3716.29,3844.04,1413
A,42,3841.56,4605.26,2154
A,43,3447.98,3203.93,9719
A,44,4709.97,1269.36,898
A,45,4830.1,4696.87,319
A,46,2674.9,346.11,5932
A,47,2015.9,618.3,663
A,48,2400.15,2410.72,64
A,49,2307.03,1457.31,1241
A,50,3991.8,242.82,1278
A,51,4122.67,4824.37,57
A,52,3506.71,3296.57,1126
A,53,2953.67,594.26,2025
A,54,4419.2,23.79,2839
A,55,1661.37,823.96,2003
A,56,2133.79,3146.27,4020
A,57,113.9,722.17,4411
A,58,4715.04,2323.88,290
A,59,1531.66,1544.15,211
A,60,2384.83,534.76,5701
A,61,4830.1,827.16,2743
A,62,789.93,4450.84,2399
A,63,4662.01,3254.67,407
A,64,135.19,97.85,3290
A,65,4572.82,1001.2,3474
A,66,1726.05,2894.13,3362
A,67,470.97,4747.04,847
A,68,575.1,4467.2,11699
A,69,2648.42,1160.48,2501
A,70,3620.69,2662.29,2252
A,71,2387.08,4100.82,1393
A,72,2561.89,4314.58,3483
A,73,584.88,4161.3,1052
A,74,2759.84,1219.56,1466
A,75,4951.01,2062.18,1149
A,76,4136.27,4851.84,982
A,77,868.44,4883.3,287
A,78,4699.19,1103.3,12838
A,79,4321.97,938.41,4166
A,80,960.09,804.09,9672
A,81,2665.64,4649.29,7614
A,82,2877.79,2734.08,6482
A,83,4520.27,100.97,2774
A,84,3747.83,4810.5,5985
A,85,4045.12,112.73,2674
A,86,4175.37,1357.01,615
A,87,284.76,3536.87,406
A,88,1938.82,3927.86,676
A,89,3198.29,2193.82,1159
A,90,4082.88,3709.78,1407
A,91,1346.6,1326.41,3362
A,92,714.77,4890.16,29
A,93,4433.59,152.29,2812
A,94,852.29,3071.05,781
A,95,670.29,4396.99,9140
A,96,2350.6,1202.01,8701
A,97,940.89,4096.05,10046
A,98,2295.63,841.78,1064
A,99,1375.45,4669.28,6102
A,100,1393.52,291.72,1640
A,101,4556.67,4292.32,9873
A,102,1597.95,2272.1,3224
A,103,2014.17,1043.8,239
A,104,4604.42,1547.22,513
A,105,4409.3,1317.05,6088
A,106,4660.36,348.81,2136
A,107,3738.55,3197.05,5767
A,108,3815.91,2344.05,3257
A,109,2832.7,2085.59,270
A,110,1335.74,1486.75,8387
A,111,1696.08,4316.2,610
A,112,352.01,2079.09,774
A,113,1793.62,2346.77,2094
A,114,894.0,4896.86,391
A,115,458.83,252.68,2132
A,116,802.74,4366.91,331
A,117,156.84,409.25,3893
A,118,4168.48,3555.78,1686
A,119,4757.38,3536.31,5253
A,120,395.27,259.45,5659
A,121,477.96,4076.17,1684
A,122,2697.7,4314.26,395
A,123,4306.59,2656.35,1785
A,124,347.89,2580.31,341
A,125,2168.27,1579.94,75
A,126,1640.56,2072.81,2401
A,127,4215.74,560.52,6733
A,128,4882.47,1804.4,4602
A,129,1565.0,2372.94,687
A,130,4786.11,1201.52,3627
A,131,3416.61,3321.94,943
A,132,2178.82,1747.07,902
A,133,2610.41,1467.89,609
A,134,775.82,405.64,382
A,135,60.82,4677.61,6047
A,136,937.56,2650.7,14051
A,137,2769.8,1770.5,790
A,138,4384.53,4246.92,1109
A,139,1331.44,3771.24,5286
A,140,3799.02,1510.47,916
A,141,3359.62,771.35,128
A,142,1295.38,3048.35,987
A,143,4448.16,2832.17,1145
A,144,1637.2,224.03,6573
A,145,3182.05,4369.35,1466
A,146,498.14,4698.38,1555
A,147,726.54,3515.53,1186
A,148,2533.93,1780.51,2879
A,149,330.68,1185.2,2809
A,150,4989.48,1622.69,63
A,151,4776.75,425.07,1229
A,152,2.94,2936.03,144
A,153,795.92,2835.32,1279
A,154,1312.95,325.92,1487
A,155,3307.22,3577.02,10203
A,156,2638.59,1646.29,7664
A,157,807.27,270.46,8448
A,158,1952.38,2337.41,3125
A,159,2916.64,3935.67,4487
A,160,1140.6,2829.63,1961
A,161,405.01,1311.41,2218
A,162,3074.92,116.53,4025
A,163,2589.7,3010.83,471
A,164,4311.99,1944.87,9212
A,165,1198.41,711.55,438
A,166,550.18,4530.86,1050
A,167,4988.49,2753.39,5098
A,168,4788.84,4543.63,6301
A,169,2130.85,2920.43,123
A,170,2452.54,3450.63,4398
A,171,1508.82,567.81,373
A,172,1109.21,1904.37,3177
A,173,3737.36,2119.6,3037
A,174,3120.38,1285.44,2000
A,175,500.32,2614.84,2946
A,176,1905.75,1483.08,4671
A,177,2302.03,3306.29,30
A,178,986.66,4383.66,1729
A,179,4452.48,1594.05,3613
A,180,2643.96,2254.69,1518
A,181,1115.96,3943.49,2001
A,182,733.4,3400.65,330
A,183,1587.37,422.01,5664
A,184,2827.83,4492.28,2942
A,185,2875.69,419.15,736
A,186,1426.73,395.24,2087
A,187,4033.3,2598.15,2195
A,188,4100.47,332.06,3310
A,189,1346.09,948.48,1161
A,190,1870.05,2690.81,152
A,191,1084.44,969.66,647
A,192,4364.23,2223.67,6045
A,193,1886.39,4071.96,505
A,194,4495.32,1429.53,6696
A,195,2242.65,17.79,4786
A,196,1083.91,1530.14,6184
A,197,1925.45,4698.82,98
A,198,57.57,1025.37,5043
A,199,1562.6,394.58,3435
A,200,2629.35,4929.82,3457
A,201,4483.18,3004.8,4033
A,202,355.25,713.99,4181
A,203,4238.36,787.95,3814
A,204,4058.85,3823.79,2823
A,205,3742.6,327.93,1682
A,206,4264.19,4817.17,2072
A,207,4345.16,4170.63,1295
A,208,4467.67,3687.13,3359
A,209,4752.45,4832.14,2107
A,210,4470.42,2955.27,1645
A,211,968.2,4058.22,1342
A,212,4194.57,2449.75,1449
A,213,4822.45,2165.06,1258
A,214,4747.0,4592.8,305
A,215,1709.84,1610.72,956
A,216,3601.31,391.02,321
A,217,4672.54,3187.79,1123
A,218,582.67,295.26,167
A,219,1307.05,1648.66,546
A,220,431.49,4345.64,4113
A,221,3694.82,4504.41,5417
A,222,448.29,3797.94,4136
A,223,528.02,4767.78,481
A,224,2450.37,427.06,10304
A,225,4068.31,2481.21,254
A,226,2249.81,1159.02,2895
A,227,4009.22,1282.2,5770
A,228,978.74,4176.66,3310
A,229,4459.13,4762.22,704
A,230,1324.45,4362.09,113
A,231,799.72,982.54,8859
A,232,3247.75,2512.98,1158
A,233,2000.51,4495.62,895
A,234,222.33,2557.67,12146
A,235,749.57,1893.15,1182
A,236,918.99,1866.38,4019
A,237,2796.14,244.65,2916
A,238,3674.72,4529.27,4863
A,239,4362.71,3470.45,1090
A,240,4012.18,3679.15,5722
A,241,2114.21,2337.6,4897
A,242,508.46,812.37,907
A,243,1757.59,2577.3,1805
A,244,862.0,3427.19,4173
A,245,2790.17,2597.19,3510
A,246,2439.91,2045.14,890
A,247,3035.47,4913.06,3131
A,248,2582.08,1627.4,1358
A,249,277.28,4991.87,1966
A,250,2928.67,4403.76,3373
A,251,3343.1,2081.32,9703
A,252,3365.22,3583.3,2862
A,253,3275.99,3221.37,2166
A,254,4817.41,2123.76,5242
A,255,286.58,589.9,2300
A,256,3098.13,3354.14,8238
A,257,389.94,711.18,8329
A,258,1110.19,1265.53,1690
A,259,2715.92,1752.33,2734
A,260,3010.71,1063.69,412
A,261,3327.45,4617.54,361
A,262,4326.48,2026.03,907
A,263,2705.39,3642.19,50
A,264,2206.16,3614.52,2553
A,265,3561.1,2474.76,1698
A,266,2654.89,2813.27,236
A,267,3401.03,713.82,4719
A,268,1021.44,1041.37,4798
A,269,3562.35,1526.05,5330
A,270,3552.06,3419.58,1444
A,271,110.32,1345.64,24
A,272,4456.83,4586.6,4561
A,273,3454.63,1586.18,729
A,274,4921.11,1674.7,8345
A,275,991.62,3109.37,741
A,276,1631.17,3230.48,2260
A,277,4499.7,2976.47,2345
A,278,4108.85,1608.75,5195
A,279,3657.75,4889.99,771
A,280,1224.95,3862.79,2891
A,281,990.44,1298.18,1406
A,282,2391.6,1657.09,32
A,283,3829.77,2292.16,242
A,284,1335.36,2803.61,4393
A,285,1598.18,4869.95,5033
A,286,4037.5,147.87,110
A,287,2506.16,3478.54,1564
A,288,4672.09,4650.07,691
A,289,3554.59,3831.65,621
A,290,879.96,13.22,4079
A,291,2928.23,4063.88,4267
A,292,2367.94,976.21,1602
A,293,3444.12,1602.83,928
A,294,3731.36,676.99,5580
A,295,3834.86,751.78,466
A,296,3546.08,1042.34,2313
A,297,1043.47,452.86,5432
A,298,4749.67,3946.03,1168
A,299,4713.1,1614.61,8640
A,300,2966.05,4804.61,3076
A,301,2907.2,4530.21,5103
A,302,2982.12,959.32,1694
A,303,4142.06,2169.78,6364
A,304,4326.45,4973.64,598
A,305,4312.26,4481.88,4202
A,306,3854.69,1990.19,712
A,307,4362.33,4920.18,4531
A,308,3828.41,3151.44,7414
A,309,576.0,511.81,1000
A,310,4152.23,2216.67,2427
A,311,821.52,4321.03,2141
A,312,3121.52,4806.71,858
A,313,1676.19,4070.52,2445
A,314,117.96,1531.33,779
A,315,2442.37,861.12,3515
A,316,2315.79,2261.87,1840
A,317,2981.34,3076.53,2076
A,318,2979.04,4267.35,715
A,319,2068.97,1375.28,4617
A,320,2527.38,2258.21,2008
A,321,2261.02,150.66,7738
A,322,2910.11,4845.17,10545
A,323,4120.06,4415.11,329
A,324,1766.99,2920.94,8669
A,325,3000.65,4972.03,2200
A,326,3882.87,2486.3,1763
A,327,1067.71,1868.38,4323
A,328,153.27,1157.67,496
A,329,734.46,1721.68,9074
A,330,704.23,2520.16,1249
A,331,3560.54,142.75,27
A,332,2693.3,2982.7,459
A,333,2743.25,1555.96,908
A,334,636.96,4612.15,1666
A,335,3625.87,2624.47,5286
A,336,1161.04,3806.21,5503
A,337,3060.69,2032.64,4420
A,338,2609.23,2419.63,426
A,339,4166.1,286.12,321
A,340,2649.0,2305.85,3958
A,341,3064.11,4688.67,8320
A,342,852.22,1410.47,862
A,343,2329.26,3886.16,227
A,344,4636.27,4487.08,1348
A,345,3978.6,2013.11,8931
A,346,4761.33,3100.54,2757
A,347,3576.99,1361.35,5260
A,348,1321.18,777.41,3321
A,349,617.19,3381.84,2269
A,350,4659.04,4672.82,2217
A,351,4984.55,4786.89,667
A,352,1294.66,492.26,1163
A,353,4514.3,766.19,153
A,354,2713.82,233.77,366
A,355,541.65,418.41,2431
A,356,3614.5,840.97,8402
A,357,772.96,2531.17,104
A,358,979.86,2308.0,3684
A,359,1907.23,529.77,1752
A,360,2986.34,285.52,808
A,361,3814.59,170.84,316
A,362,1313.87,216.43,11074
A,363,4488.07,4146.25,4095
A,364,4421.58,805.82,640
A,365,4648.59,3385.88,943
A,366,1488.09,1176.53,1162
A,367,799.15,2960.11,2516
A,368,3968.46,446.76,160
A,369,2204.46,438.67,1718
A,370,508.98,3027.53,4815
A,371,4711.83,4917.67,3658
A,372,3494.81,2735.87,1457
A,373,2969.15,2780.94,9755
A,374,4470.41,108.6,3062
A,375,2201.7,2034.68,418
A,376,2098.07,2739.06,4230
A,377,4353.66,2635.0,111
A,378,421.05,4626.37,2072
A,379,3222.47,2719.38,1670
A,380,3551.01,4662.4,2644
A,381,4890.53,1583.59,2088
A,382,3330.05,2115.23,3152
A,383,497.23,3521.98,1289
A,384,3468.49,1974.63,317
A,385,3856.91,1211.08,4559
A,386,698.58,2249.48,695
A,387,3492.6,4261.84,1274
A,388,4637.96,3006.96,2183
A,389,4237.47,2015.55,1023
A,390,1110.34,2269.72,1953
A,391,3610.33,4121.91,1000
A,392,4691.87,4315.06,959
A,393,1538.96,3416.97,585
A,394,4087.74,1717.98,774
A,395,2661.34,1449.68,1059
A,396,2935.74,472.2,4043
A,397,429.8,1179.86,73
A,398,323.35,3443.34,1333
A,399,4258.46,2734.4,1294
A,400,1980.28,3359.84,2512
A,401,1750.63,3003.68,5137
A,402,2378.55,645.68,7046
A,403,4053.3,4423.04,1844
A,404,4812.57,408.5,448
A,405,2456.3,2777.6,2772
A,406,1467.0,719.25,2021
