Feature,Instance,LocX,LocY,Checkin
A,1,43146.62,80720.28,1327
A,2,42949.64,80086.77,532
A,3,32008.15,186744.39,5067
A,4,31417.26,193779.46,873
A,5,31976.49,196931.39,525
A,6,38250.31,195796.59,296
A,7,38843.23,113475.72,730
A,8,42905.49,80450.53,1700
A,9,42904.95,80471.02,74
A,10,18980.72,145594.1,1067
A,11,13385.52,140959.74,1884
A,12,9282.1,131527.76,392
A,13,33825.61,160225.78,523
A,14,24252.62,133783.12,288
A,15,31919.2,221444.91,535
A,16,42938.56,80578.16,194
A,17,43084.9,80643.43,66
A,18,42082.82,188203.42,938
A,19,42217.55,188040.48,218
A,20,32899.1,210530.84,5753
A,21,40528.86,72898.35,334
A,22,39416.83,171895.19,1999
A,23,53232.5,119256.91,45
A,24,43074.18,80638.19,50
A,25,48595.65,59932.29,1085
A,26,42137.7,188150.51,1127
A,27,48597.99,59908.23,1778
A,28,48628.61,59987.09,943
A,29,33812.98,135019.95,189
A,30,52648.88,197903.82,569
A,31,53185.96,119461.85,259
A,32,53226.11,119284.98,1051
A,33,43647.71,57599.41,106
A,34,39417.01,171693.05,1507
A,35,39429.09,171202.44,979
A,36,49638.6,62851.79,107
A,37,28284.54,191800.86,901
A,38,28037.55,191811.22,51
A,39,34421.04,178340.52,589
A,40,24182.84,133877.46,6005
A,41,9157.06,131287.19,2259
A,42,39801.55,169291,1629
A,43,4422.63,118441.2,576
A,44,43041.47,80620.6,607
A,45,42937.39,80196.25,201
A,46,48593.22,62057.79,475
A,47,48249.89,61734.13,488
A,48,44672.88,193348.1,3549
A,49,44662.16,193282.38,2293
A,50,54387.58,148763.63,32
A,51,48603.84,59805.77,633
A,52,48497.48,60149.14,1584
A,53,48880.87,60496.86,2010
A,54,48937.79,60439.61,547
A,55,50097.41,59694.06,443
A,56,50221.58,59731.03,1726
A,57,48245.39,62128.51,731
A,58,48331.22,60002.79,207
A,59,57896.66,80568.47,253
A,60,56399.65,57186.99,642
A,61,48879.43,60502.09,1367
A,62,49851.93,60103.36,575
A,63,43601.22,183561.27,931
A,64,48259.98,60009.92,934
A,65,48520.45,61107.42,906
A,66,48508.2,61006.73,2810
A,67,61467.15,125018.84,1832
A,68,24161.71,134390.01,708
A,69,48646.71,59610.86,1155
A,70,48465.24,61198.97,739
A,71,44525.03,190185.02,874
A,72,49760.89,139596.5,1010
A,73,52168.04,153514.04,591
A,74,48563.04,60722.73,147
A,75,48495.59,61057.86,1304
A,76,55195.84,140278.57,286
A,77,53170.74,58978.13,798
A,78,48285.65,60662.25,309
A,79,48347.34,60532.72,862
A,80,55061.28,158494.22,2300
A,81,52125.81,153484.86,24
A,82,47330.2,46912,1697
A,83,47355.06,46691.7,641
A,84,48977.41,60088.89,402
A,85,49193.55,59446.02,356
A,86,49254.25,59462.17,530
A,87,48553.41,61053.51,137
A,88,48510.27,60998.05,226
A,89,48521.89,60935.01,733
A,90,53624.98,138991.29,1776
A,91,49680.38,58676.86,1100
