Feature,Instance,LocX,LocY,Checkin
A,1,693670.6337,1140583.132,4940
A,2,695932.5033,1139004.935,8945
A,3,701358.7123,1123227.418,980
A,4,719714.6956,1105313.71,1601
A,5,740579.3629,1101601.549,18756
A,6,738635.0926,1100054.537,4261
A,7,734008.3906,1099250.403,1702
A,8,754351.0147,1099003.148,5050
A,9,727267.1328,1098909.592,2468
A,10,754801.2988,1098631.152,6355
A,11,754067.02,1092599.031,59820
A,12,753948.4737,1092567.846,26548
A,13,754019.2605,1092320.591,5575
A,14,649921.4321,1091887.339,353
A,15,749067.4464,1091763.711,44013
A,16,648535.2829,1091299.274,2218
A,17,804044.6355,1091268.088,2195
A,18,803525.6751,1087246.303,787
A,19,748759.4368,1087060.305,13107
A,20,803266.6114,1086875.421,4792
A,21,640620.4888,1085916.474,16678
A,22,636434.1008,1085761.661,21738
A,23,757170.1302,1085081.154,10090
A,24,792857.0523,1081987.13,13010
A,25,788723.0576,1081863.503,1331
A,26,826885.1741,1080996.998,8973
A,27,827214.9512,1080687.373,1784
A,28,828368.6779,1078861.921,5434
A,29,829240.0473,1077377.28,5462
A,30,826319.7003,1074840.135,7497
A,31,816189.3387,1065559.177,448
A,32,816071.3961,1062094.271,171
A,33,764013.0818,1059186.245,969
A,34,767893.9754,1057948.858,12996
A,35,830558.0038,1055225.716,344
A,36,830652.0777,1050801.864,5645
A,37,802581.9772,1049254.852,4259
A,38,830981.7542,1043438.799,674
A,39,829993.5458,1042881.92,1500
A,40,649562.6495,1040932.84,6074
A,41,830652.0777,1037622.747,3858
A,42,831287.6929,1033817.031,1607
A,43,830981.7542,1032795.713,1080
A,44,659692.0798,1032734.457,15912
A,45,676228.7959,1028650.3,4439
A,46,617468.343,1024411.332,8423
A,47,732964.4237,1020018.664,3879
A,48,747171.4838,1016461.316,7564
A,49,617923.8856,1015316.371,729
A,50,622045.3846,1007055.617,6810
A,51,631193.1747,1002755.392,1087
A,52,822787.2333,1000249.433,19052
A,53,623577.8484,998331.539,26
A,54,822645.6083,997465.034,4435
A,55,787613.2214,996413.645,33
A,56,636170.5171,994278.568,39
A,57,834300.9118,990968.475,1853
A,58,805177.6085,988740.9555,22724
A,59,747668.9683,988090.5199,1549
A,60,599671.6995,987410.0128,6417
A,61,754990.6178,987286.3855,1708
A,62,609220.6003,987286.3855,11851
A,63,826061.1166,986821.9478,3413
A,64,807984.1104,986419.8806,687
A,65,807489.0918,985770.5588,2299
A,66,812676.8787,985739.3736,3316
