Feature,Instance,X,Y,Checkin
A,1,26765.53,45291.95,2059
A,3,39833.97,15671.56,14
A,5,48877.25,9429.57,839
A,7,45746.28,18209.56,972
A,8,36560.79,284.95,220
A,10,49509.53,18321.1,106
A,15,47829.12,23151.78,182
A,20,45698.28,21603.55,1764
A,22,30466.53,48280.78,462
A,23,49239.06,5764.12,2831
A,28,23713.44,33859.31,1444
A,29,13613.62,194.25,478
A,41,53906.51,7999.99,153
A,42,40990.02,42145.69,120
A,48,18216.66,9082.17,1051
A,58,56871.11,12369.48,913
A,60,17302.52,9729.86,782
A,64,13305.22,41767.57,1704
A,73,33500.27,57431.03,578
A,76,44461.37,13307.77,1938
A,78,64272.96,8752.96,126
A,83,14829,20779.15,898
A,86,34409.66,13542.15,143
A,89,56326.07,11765.34,513
A,94,34119.71,20544.14,683
A,99,12632.06,53190.66,1217
A,100,39581.12,44256.33,1347
A,101,41370.22,594.93,1826
A,103,48394.91,18366.28,722
A,108,36106.3,13472.6,685
A,114,14771.38,22462.41,2041
A,115,55131.85,14235.76,156
A,118,44016.35,3162.53,408
A,127,58395.55,11682.06,1386
A,128,28560.5,53617.5,896
A,129,51064.42,3646.8,1666
A,146,34954,39488.5,687
A,147,28411.97,10535.17,2157
A,151,27827.1,53226.99,229
A,153,22887.04,56816.28,2878
A,156,48415.12,6535.59,1448
A,157,53783.82,17339.1,4299
A,160,69384.67,1311.41,1758
A,168,52156.44,17180.15,2969
A,169,28168.4,45980.72,1033
A,172,64554.29,8201.42,1256
A,178,49517.08,5077.46,89
A,185,39113.61,40793.58,1029
A,195,13726.36,50596.49,683
A,216,26895.7,24897.37,108
A,221,16783.84,10755.75,58
A,223,16330.88,13408.44,1641
A,225,49231.5,22151.83,762
A,228,25127.98,37281.32,1168
A,229,36080.55,18504.58,642
A,234,28349.68,50578.09,441
A,247,13905.41,55665.93,342
A,248,17272.45,6130.9,2001
A,249,35969.68,2206.72,1075
A,269,16224.72,13595.14,707
A,289,14055.11,16156.33,955
A,297,27309.49,24586.46,1111
A,302,35226.56,35324.23,1097
A,313,65178.8,3677.88,308
A,316,29369.6,31080.75,2539
A,330,46213.61,564.58,1533
A,338,56023.14,11638.04,2599
A,342,30546.29,51731.64,1116
A,343,33627.91,46540.79,1364
A,348,24589.64,20473.9,3214
A,351,47611.1,20126.86,1481
A,363,32754.73,39356.47,662
A,368,26478.55,32008.63,2218
A,369,14707.96,11606.31,397
A,370,49541.53,15373.83,1223
A,390,32119.21,34696.64,28
A,399,9035.81,14528.92,79
A,410,57601.49,12507.51,666
A,413,54600.93,6096.7,423
A,427,13121.07,21348.01,1500
A,436,31265.84,22954.38,802
A,444,13450.86,42680.43,1218
A,446,21884.74,55006.91,1738
A,447,40287.55,38945.19,1211
A,452,15668.21,44893.78,109
A,454,7751.93,11888.26,438
A,458,16386.25,16581.17,979
